Nome da instancia,fluxo,tempo(ns),vertices,arcos,caminhos
BVZ-tsukuba0.max,34669,98746767200,110594,514483,9354
BVZ-tsukuba1.max,264801,475780220100,110594,526213,46001
BVZ-tsukuba10.max,236298,463270500000,110594,516529,44149
BVZ-tsukuba11.max,42705,112957822900,110594,510446,10936
BVZ-tsukuba12.max,38887,101335893000,110594,510816,9782
BVZ-tsukuba13.max,0,56777300,110594,551616,0
BVZ-tsukuba14.max,50599,118335171100,110594,515315,11484
BVZ-tsukuba15.max,33349,78379535300,110594,518994,7691
BVZ-tsukuba2.max,41538,110990645500,110594,508272,10642
BVZ-tsukuba3.max,35379,86890394400,110594,506721,9122
BVZ-tsukuba4.max,48947,133637786900,110594,496135,13237
BVZ-tsukuba5.max,74372,146309436400,110594,501390,19215
BVZ-tsukuba6.max,187576,247861520100,110594,512938,33516
BVZ-tsukuba7.max,41095,107102362600,110594,502599,10771
BVZ-tsukuba8.max,54458,125887594600,110594,503938,13411
BVZ-tsukuba9.max,298716,365108410000,110594,519074,46627
