Nome da instancia,fluxo,tempo(ns),vertices,arcos,caminhos
BVZ-tsukuba0.max,34669,95385065800,110594,514483,7820
BVZ-tsukuba1.max,264801,440982555200,110594,526213,36312
BVZ-tsukuba10.max,236298,422905675700,110594,516529,36435
BVZ-tsukuba11.max,42705,95928342200,110594,510446,8402
BVZ-tsukuba12.max,38887,94886897200,110594,510816,8127
BVZ-tsukuba13.max,0,2501366888400,110594,551616,0
BVZ-tsukuba14.max,50599,111349707300,110594,515315,9232
BVZ-tsukuba15.max,33349,75237296100,110594,518994,6217
BVZ-tsukuba2.max,41538,106724868900,110594,508272,8919
BVZ-tsukuba3.max,35379,83035232200,110594,506721,7335
BVZ-tsukuba4.max,48947,125009615000,110594,496135,11089
BVZ-tsukuba5.max,74372,132606622900,110594,501390,15362
BVZ-tsukuba6.max,187576,265424309800,110594,512938,26626
BVZ-tsukuba7.max,41095,93957374400,110594,502599,8458
BVZ-tsukuba8.max,54458,119165480200,110594,503938,10846
BVZ-tsukuba9.max,298716,484264660100,110594,519074,38140
